episode,return
10,1.5451
20,-34.6317
30,-12.1184
40,57.582
50,9.8027
60,13.0282
70,10.7363
80,3.8737
90,43.5079
100,48.948
110,31.4643
120,43.5742
130,11.3081
140,63.9459
150,17.1834
160,86.3236
170,116.1658
180,36.0999
190,128.9815
200,88.8123
210,74.1209
220,135.7273
230,54.7977
240,54.7065
250,125.197
260,142.8729
270,148.3432
280,78.0847
290,178.0867
300,148.4081
310,167.1871
320,81.9589
330,48.2817 
340,171.2934
350,23.4683
360,50.8873
370,25.3641
380,84.0455
390,49.5953
400,64.5001
410,82.7647
420,85.3057
430,93.0507
440,56.3077
450,118.6034
460,159.824
470,182.6158
480,88.2912
490,113.5534
500,50.8157
510,21.8984
520,74.9827
530,110.5989
540,79.3759
550,101.4091
560,23.7874
570,231.579
580,117.0211
590,118.1689
600,113.3564
610,102.78
620,272.4985
630,64.3944
640,106.1342
650,77.9979
660,91.422
670,46.9633
680,5.9442
690,25.5554
700,51.7948
710,88.0464
720,69.3123
730,22.3131
740,86.7618
750,-19.4124
760,109.9886
770,20.6728
780,88.2377
790,85.4047
800,81.8575
810,82.2721
820,47.3987
830,144.3037
840,88.5527
850,74.359
860,105.9419
