episode,actor_loss,critic_loss,entropy
1,0.06,12.808,1.595
2,0.0495,16.7612,1.5824
3,0.1472,8.2383,1.5874
4,0.0385,21.4907,1.5542
5,0.0349,81.8421,1.5153
6,0.0205,25.3819,1.4805
7,0.1633,28.8213,1.459
8,0.0183,52.7091,1.4367
9,-0.1961,32.4581,1.3693
10,0.0671,27.5522,1.3514
11,0.0202,55.2428,1.2681
12,0.1139,183.2971,1.2924
13,0.1385,172.6116,1.2001
14,0.1586,257.8688,1.1243
15,-0.05,42.6627,1.0337
16,-0.0091,80.1952,0.9109
17,-0.0589,72.8537,1.0354
18,0.279,34.7375,1.134
19,-0.0003,83.3242,1.154
20,0.0585,28.294,1.1568
21,0.0454,55.8297,1.1436
22,-0.0837,87.4832,1.1947
23,-0.0945,38.1347,1.088
24,0.0416,61.5829,1.088
25,0.0332,49.6594,1.1342
26,0.0082,141.8647,1.0903
27,-0.3129,128.9247,0.8798
28,-0.1058,80.0408,1.0439
29,0.0002,66.6168,0.9522
30,-0.0178,92.2839,0.9847
31,0.1644,105.5405,1.0142
32,0.0884,84.7528,0.93
33,-0.0755,77.6803,0.9539
34,-0.0163,112.0012,0.9429
35,0.009,86.9521,1.0066
36,-0.0363,97.3805,0.9245
37,-0.0277,91.1399,0.9491
38,-0.0384,69.0826,1.1048
39,-0.0782,56.9608,1.1012
40,0.1807,82.7911,1.0881
41,-0.0224,90.4792,0.9527
42,0.0406,49.0497,1.0124
43,0.0543,90.7048,1.0181
44,-0.2397,70.847,0.9176
45,-0.0687,70.0443,1.1012
46,0.0153,120.5344,0.9698
47,0.0548,95.1409,1.1236
48,0.1539,88.3719,1.0329
49,0.0355,78.5827,1.0249
50,-0.3646,151.7577,0.8937
51,-0.0117,40.0808,1.0388
52,-0.1028,116.9585,1.0233
53,0.035,103.9147,0.9683
54,-0.1388,122.5925,1.0976
55,0.1612,51.3355,1.0117
56,0.0801,62.2643,1.0234
57,-0.2326,192.2301,0.9276
58,-0.2867,246.7862,0.8543
59,-0.1009,111.2463,0.8486
60,-0.0213,85.73,0.9089
61,-0.0059,70.0843,1.0286
62,-0.1381,108.0105,0.967
63,-0.1918,145.4391,0.7773
64,-0.1967,151.9345,0.759
65,0.0955,89.5131,0.8869
66,0.1124,98.3284,0.9224
67,-0.2315,160.1609,1.0056
68,-0.1294,121.3012,0.9092
69,-0.1291,92.7372,0.9265
70,0.1507,50.2307,1.0366
71,0.1712,123.2547,0.9168
72,0.0176,87.9454,0.9915
73,0.0218,59.8682,0.9647
74,0.0543,119.1691,0.8642
75,-0.1089,156.6104,0.8625
76,-0.1592,107.2673,0.7596
77,0.0465,83.1977,0.8168
